INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,31-Jan-2008,0,XX,9959,10054,9876,10010.85,10010.85,2724,6791.39,112900,16975,1-JAN-2008,
FUTIDX,BANKNIFTY,28-Feb-2008,0,XX,0,0,0,9500,10043.15,0,0,50,0,1-JAN-2008,
FUTIDX,BANKNIFTY,27-Mar-2008,0,XX,0,0,0,10000,10110.4,0,0,25,0,1-JAN-2008,
FUTIDX,CNX100,31-Jan-2008,0,XX,6052.5,6088,6052.5,6088,6105.05,2,6.07,100,-100,1-JAN-2008,
FUTIDX,CNX100,28-Feb-2008,0,XX,0,0,0,6099,6148.75,0,0,50,0,1-JAN-2008,
FUTIDX,CNX100,27-Mar-2008,0,XX,0,0,0,6100.55,6189.9,0,0,0,0,1-JAN-2008,
FUTIDX,CNXIT,31-Jan-2008,0,XX,4771,4787.25,4742,4748.15,4748.15,368,876.32,142450,2650,1-JAN-2008,
FUTIDX,CNXIT,28-Feb-2008,0,XX,0,0,0,4375.75,4814.3,0,0,0,0,1-JAN-2008,
FUTIDX,CNXIT,27-Mar-2008,0,XX,4571,4950,4571,4760.5,4760.5,2,4.76,0,0,1-JAN-2008,
FUTIDX,JUNIOR,31-Jan-2008,0,XX,12782,12782,12480,12718.45,12718.45,270,858.12,128050,775,1-JAN-2008,
FUTIDX,JUNIOR,28-Feb-2008,0,XX,0,0,0,11276.7,12814.75,0,0,0,0,1-JAN-2008,
FUTIDX,JUNIOR,27-Mar-2008,0,XX,0,0,0,11376.2,12900.55,0,0,0,0,1-JAN-2008,
FUTIDX,MINIFTY,31-Jan-2008,0,XX,6175,6178.95,6052,6153.95,6153.95,5313,6532.68,18420,18420,1-JAN-2008,
FUTIDX,MINIFTY,28-Feb-2008,0,XX,6175,6178.2,6131,6150.45,6150.45,25,30.77,240,240,1-JAN-2008,
FUTIDX,MINIFTY,27-Mar-2008,0,XX,6140,6140,6135,6137.5,6137.5,2,2.45,40,40,1-JAN-2008,
FUTIDX,NFTYMCAP50,31-Jan-2008,0,XX,3895,3925,3860,3889.1,3889.1,80,233.89,6375,3150,1-JAN-2008,
FUTIDX,NFTYMCAP50,28-Feb-2008,0,XX,3990.1,4020,3825.1,3837.6,3837.6,4,11.76,0,0,1-JAN-2008,
FUTIDX,NFTYMCAP50,27-Mar-2008,0,XX,0,0,0,3747.65,3917.8,0,0,0,0,1-JAN-2008,
FUTIDX,NIFTY,31-Jan-2008,0,XX,6150,6179.95,6121,6156.4,6156.4,329484,1013567.99,33510150,715150,1-JAN-2008,
FUTIDX,NIFTY,28-Feb-2008,0,XX,6138,6169,6112.35,6148.1,6148.1,2968,9119.33,780150,11450,1-JAN-2008,
FUTIDX,NIFTY,27-Mar-2008,0,XX,6129.95,6157.9,6110,6136.25,6136.25,452,1386.68,31550,8300,1-JAN-2008,
FUTINT,NSE10Y06,31-Jan-2008,0,XX,0,0,0,87.03,87.34,0,0,0,0,1-JAN-2008,
FUTINT,NSE10Y06,28-Feb-2008,0,XX,0,0,0,85.96,87.42,0,0,0,0,1-JAN-2008,
FUTINT,NSE10Y06,27-Mar-2008,0,XX,0,0,0,88.7,87.47,0,0,0,0,1-JAN-2008,
FUTINT,NSE10Y06,26-Jun-2008,0,XX,0,0,0,86.56,87.62,0,0,0,0,1-JAN-2008,
FUTINT,NSE10Y06,25-Sep-2008,0,XX,0,0,0,86.88,87.76,0,0,0,0,1-JAN-2008,
FUTINT,NSE10Y06,25-Dec-2008,0,XX,0,0,0,87.7,87.88,0,0,0,0,1-JAN-2008,
FUTINT,NSE10YZC,31-Jan-2008,0,XX,0,0,0,45.82,45.89,0,0,0,0,1-JAN-2008,
FUTINT,NSE10YZC,28-Feb-2008,0,XX,0,0,0,44.71,45.92,0,0,0,0,1-JAN-2008,
FUTINT,NSE10YZC,27-Mar-2008,0,XX,0,0,0,46.71,45.94,0,0,0,0,1-JAN-2008,
FUTINT,NSE10YZC,26-Jun-2008,0,XX,0,0,0,45.61,45.99,0,0,0,0,1-JAN-2008,
FUTINT,NSE10YZC,25-Sep-2008,0,XX,0,0,0,45.6,46.03,0,0,0,0,1-JAN-2008,
FUTINT,NSE10YZC,25-Dec-2008,0,XX,0,0,0,46.28,46.07,0,0,0,0,1-JAN-2008,
FUTINT,NSETB91D,31-Jan-2008,0,XX,0,0,0,94.42,93.89,0,0,0,0,1-JAN-2008,
FUTINT,NSETB91D,28-Feb-2008,0,XX,0,0,0,93.37,94.54,0,0,0,0,1-JAN-2008,
FUTINT,NSETB91D,27-Mar-2008,0,XX,0,0,0,102.6,95.15,0,0,0,0,1-JAN-2008,
FUTINT,NSETB91D,26-Jun-2008,0,XX,0,0,0,100.78,97.17,0,0,0,0,1-JAN-2008,
FUTINT,NSETB91D,25-Sep-2008,0,XX,0,0,0,100.21,99.25,0,0,0,0,1-JAN-2008,
FUTINT,NSETB91D,25-Dec-2008,0,XX,0,0,0,100.49,101.36,0,0,0,0,1-JAN-2008,
FUTSTK,3IINFOTECH,31-Jan-2008,0,XX,149,152,148.55,150.35,150.35,1601,3244.41,5309550,-81000,1-JAN-2008,
FUTSTK,3IINFOTECH,28-Feb-2008,0,XX,152.65,152.7,150.1,150.1,151,11,22.48,22950,10800,1-JAN-2008,
FUTSTK,3IINFOTECH,27-Mar-2008,0,XX,0,0,0,144.1,152,0,0,0,0,1-JAN-2008,
FUTSTK,ABAN,31-Jan-2008,0,XX,5000,5063.3,4912,4998.05,4998.05,2446,6130.06,1086150,-20750,1-JAN-2008,
FUTSTK,ABAN,28-Feb-2008,0,XX,5040,5099,5040,5050,5028,25,63.61,300,-900,1-JAN-2008,
FUTSTK,ABAN,27-Mar-2008,0,XX,0,0,0,4808.85,5061.65,0,0,0,0,1-JAN-2008,
FUTSTK,ABB,31-Jan-2008,0,XX,1532,1537.95,1518,1524.05,1524.05,1213,4630.48,1529000,250,1-JAN-2008,
FUTSTK,ABB,28-Feb-2008,0,XX,0,0,0,1545,1532.25,0,0,750,0,1-JAN-2008,
FUTSTK,ABB,27-Mar-2008,0,XX,0,0,0,1517.25,1542.5,0,0,0,0,1-JAN-2008,
FUTSTK,ABIRLANUVO,31-Jan-2008,0,XX,1956.05,2080,1956.05,2059.5,2059.5,383,1576.2,433600,21600,1-JAN-2008,
FUTSTK,ABIRLANUVO,28-Feb-2008,0,XX,0,0,0,2000,2060.1,0,0,400,0,1-JAN-2008,
FUTSTK,ABIRLANUVO,27-Mar-2008,0,XX,0,0,0,1865.5,2073.9,0,0,0,0,1-JAN-2008,
FUTSTK,ACC,31-Jan-2008,0,XX,1039.9,1049.95,1032.1,1039,1039,2340,9138.27,2472000,22500,1-JAN-2008,
FUTSTK,ACC,28-Feb-2008,0,XX,1045,1049,1040,1040,1042.7,3,11.75,4500,750,1-JAN-2008,
FUTSTK,ACC,27-Mar-2008,0,XX,0,0,0,1025.75,1049.65,0,0,0,0,1-JAN-2008,
FUTSTK,ADLABSFILM,31-Jan-2008,0,XX,1411.15,1521,1400,1497.5,1497.5,2588,8619.67,2177100,-57825,1-JAN-2008,
FUTSTK,ADLABSFILM,28-Feb-2008,0,XX,0,0,0,945.25,1480.1,0,0,0,0,1-JAN-2008,
FUTSTK,ADLABSFILM,27-Mar-2008,0,XX,0,0,0,1488.35,1490,0,0,0,0,1-JAN-2008,
FUTSTK,AIAENG,31-Jan-2008,0,XX,1715,1727,1684,1700.6,1700.6,71,242.7,100600,600,1-JAN-2008,
FUTSTK,AIAENG,28-Feb-2008,0,XX,0,0,0,1514.1,1694.15,0,0,0,0,1-JAN-2008,
FUTSTK,AIAENG,27-Mar-2008,0,XX,0,0,0,1696.1,1705.45,0,0,0,0,1-JAN-2008,
FUTSTK,AIRDECCAN,31-Jan-2008,0,XX,280.1,293.7,280.1,288.9,288.9,4498,11054.16,7449400,126650,1-JAN-2008,
FUTSTK,AIRDECCAN,28-Feb-2008,0,XX,290,290,286,286,286,2,4.89,6800,1700,1-JAN-2008,
FUTSTK,AIRDECCAN,27-Mar-2008,0,XX,0,0,0,285.35,291.45,0,0,0,0,1-JAN-2008,
FUTSTK,ALBK,31-Jan-2008,0,XX,121.8,132.45,120.75,131.3,131.3,2844,8896.54,9155650,994700,1-JAN-2008,
FUTSTK,ALBK,28-Feb-2008,0,XX,130.9,130.9,130.9,130.9,131.3,1,3.2,2450,0,1-JAN-2008,
FUTSTK,ALBK,27-Mar-2008,0,XX,0,0,0,118.6,132.2,0,0,0,0,1-JAN-2008,
FUTSTK,ALOKTEXT,31-Jan-2008,0,XX,105,108.85,103,106.5,106.5,3031,10837.35,17651150,268000,1-JAN-2008,
FUTSTK,ALOKTEXT,28-Feb-2008,0,XX,105.65,109.5,105.65,107.95,106.8,22,79.52,97150,-3350,1-JAN-2008,
FUTSTK,ALOKTEXT,27-Mar-2008,0,XX,0,0,0,100.65,107.5,0,0,0,0,1-JAN-2008,
FUTSTK,AMBUJACEM,31-Jan-2008,0,XX,148.8,148.8,146.55,147.1,147.1,558,1692.9,6765422,301052,1-JAN-2008,
FUTSTK,AMBUJACEM,28-Feb-2008,0,XX,148.25,148.25,148.25,148.25,150.65,1,3.05,4124,2062,1-JAN-2008,
FUTSTK,AMBUJACEM,27-Mar-2008,0,XX,0,0,0,149.15,151.65,0,0,0,0,1-JAN-2008,
FUTSTK,AMTEKAUTO,31-Jan-2008,0,XX,434.1,443.5,434.1,439,439,256,674.52,506400,14400,1-JAN-2008,
FUTSTK,AMTEKAUTO,28-Feb-2008,0,XX,0,0,0,429,437.6,0,0,0,0,1-JAN-2008,
FUTSTK,AMTEKAUTO,27-Mar-2008,0,XX,0,0,0,437.9,440.5,0,0,0,0,1-JAN-2008,
FUTSTK,ANDHRABANK,31-Jan-2008,0,XX,108.4,114.9,107,113.65,113.65,2617,6714.76,9733600,331200,1-JAN-2008,
FUTSTK,ANDHRABANK,28-Feb-2008,0,XX,110.1,115.15,110.1,114.55,114.55,7,18.2,4600,2300,1-JAN-2008,
FUTSTK,ANDHRABANK,27-Mar-2008,0,XX,0,0,0,106.65,114.3,0,0,0,0,1-JAN-2008,
FUTSTK,ANSALINFRA,31-Jan-2008,0,XX,432,442.4,426,430.6,430.6,1925,5441.86,3478800,77350,1-JAN-2008,
FUTSTK,ANSALINFRA,28-Feb-2008,0,XX,0,0,0,436,430.95,0,0,3250,0,1-JAN-2008,
FUTSTK,ANSALINFRA,27-Mar-2008,0,XX,0,0,0,425,433.8,0,0,0,0,1-JAN-2008,
FUTSTK,APIL,31-Jan-2008,0,XX,1035,1040,1007.5,1012.8,1012.8,841,1727.76,493600,7200,1-JAN-2008,
FUTSTK,APIL,28-Feb-2008,0,XX,0,0,0,936.15,1015.05,0,0,0,0,1-JAN-2008,
FUTSTK,APIL,27-Mar-2008,0,XX,0,0,0,1037.75,1021.85,0,0,0,0,1-JAN-2008,
FUTSTK,APTECHT,31-Jan-2008,0,XX,432,433.5,415,418.3,418.3,1600,4402.42,5879250,87750,1-JAN-2008,
FUTSTK,APTECHT,28-Feb-2008,0,XX,0,0,0,435,417.8,0,0,1300,0,1-JAN-2008,
FUTSTK,APTECHT,27-Mar-2008,0,XX,0,0,0,410.3,420.6,0,0,0,0,1-JAN-2008,
FUTSTK,ARVINDMILL,31-Jan-2008,0,XX,91.1,92,89.8,90.95,90.95,787,3076.7,24604600,-1027700,1-JAN-2008,
FUTSTK,ARVINDMILL,28-Feb-2008,0,XX,0,0,0,92.75,91.1,0,0,249400,0,1-JAN-2008,
FUTSTK,ARVINDMILL,27-Mar-2008,0,XX,0,0,0,87.8,91.75,0,0,0,0,1-JAN-2008,
FUTSTK,ASHOKLEY,31-Jan-2008,0,XX,52.9,53.8,52.4,52.9,52.9,4234,10723.4,68287275,-19100,1-JAN-2008,
FUTSTK,ASHOKLEY,28-Feb-2008,0,XX,53.35,54.4,53,53.45,53.45,48,122.56,353350,90725,1-JAN-2008,
FUTSTK,ASHOKLEY,27-Mar-2008,0,XX,0,0,0,50.55,53.2,0,0,0,0,1-JAN-2008,
FUTSTK,AUROPHARMA,31-Jan-2008,0,XX,555,562.5,553,556.05,556.05,770,1501.67,1801450,-19950,1-JAN-2008,
FUTSTK,AUROPHARMA,28-Feb-2008,0,XX,564.5,570.5,564.5,568.5,556.25,13,25.85,5600,4550,1-JAN-2008,
FUTSTK,AUROPHARMA,27-Mar-2008,0,XX,0,0,0,538.35,560,0,0,0,0,1-JAN-2008,
FUTSTK,AXISBANK,31-Jan-2008,0,XX,977,990,977,984.5,984.5,833,1845.95,795825,36450,1-JAN-2008,
FUTSTK,AXISBANK,28-Feb-2008,0,XX,0,0,0,938.4,986.1,0,0,0,0,1-JAN-2008,
FUTSTK,AXISBANK,27-Mar-2008,0,XX,0,0,0,977.3,992.7,0,0,0,0,1-JAN-2008,
FUTSTK,BAJAJAUTO,31-Jan-2008,0,XX,2636.5,2656,2615,2632.65,2632.65,718,1895.71,464200,27800,1-JAN-2008,
FUTSTK,BAJAJAUTO,28-Feb-2008,0,XX,2650,2650,2650,2650,2642.75,5,13.25,1400,500,1-JAN-2008,
FUTSTK,BAJAJAUTO,27-Mar-2008,0,XX,0,0,0,2745.95,2660.45,0,0,0,0,1-JAN-2008,
FUTSTK,BAJAJHIND,31-Jan-2008,0,XX,290,299,285.65,293.6,293.6,4170,11631.86,9060150,-40850,1-JAN-2008,
FUTSTK,BAJAJHIND,28-Feb-2008,0,XX,299.95,299.95,299.95,299.95,293.75,2,5.69,2850,1900,1-JAN-2008,
FUTSTK,BAJAJHIND,27-Mar-2008,0,XX,0,0,0,304.45,295.7,0,0,0,0,1-JAN-2008,
FUTSTK,BALRAMCHIN,31-Jan-2008,0,XX,112.9,119.1,112.7,117.3,117.3,3869,10806.49,21043200,-117600,1-JAN-2008,
FUTSTK,BALRAMCHIN,28-Feb-2008,0,XX,116,119.7,115.5,119,117.75,6,16.9,7200,-7200,1-JAN-2008,
FUTSTK,BALRAMCHIN,27-Mar-2008,0,XX,0,0,0,119.3,118.5,0,0,0,0,1-JAN-2008,
FUTSTK,BANKBARODA,31-Jan-2008,0,XX,466,485.5,461.25,480.7,480.7,1278,4276.51,4179700,24500,1-JAN-2008,
FUTSTK,BANKBARODA,28-Feb-2008,0,XX,0,0,0,360.9,481.8,0,0,0,0,1-JAN-2008,
FUTSTK,BANKBARODA,27-Mar-2008,0,XX,0,0,0,442.05,485,0,0,0,0,1-JAN-2008,
FUTSTK,BANKINDIA,31-Jan-2008,0,XX,372,380.45,371,378.7,378.7,2178,7795.77,4558100,16150,1-JAN-2008,
FUTSTK,BANKINDIA,28-Feb-2008,0,XX,370.75,383,370.75,372.35,379.1,3,10.69,2850,950,1-JAN-2008,
FUTSTK,BANKINDIA,27-Mar-2008,0,XX,0,0,0,367.1,381.65,0,0,0,0,1-JAN-2008,
FUTSTK,BATAINDIA,31-Jan-2008,0,XX,293.5,293.9,282,285.05,285.05,1747,5265.05,1929900,-60900,1-JAN-2008,
FUTSTK,BATAINDIA,28-Feb-2008,0,XX,288.5,288.5,288,288,285.2,2,6.05,8400,2100,1-JAN-2008,
FUTSTK,BATAINDIA,27-Mar-2008,0,XX,0,0,0,253.25,287.1,0,0,0,0,1-JAN-2008,
FUTSTK,BEL,31-Jan-2008,0,XX,2125,2149.9,2097.9,2126.1,2126.1,188,1099.42,199375,-14575,1-JAN-2008,
FUTSTK,BEL,28-Feb-2008,0,XX,0,0,0,2142,2150.1,0,0,275,0,1-JAN-2008,
FUTSTK,BEL,27-Mar-2008,0,XX,0,0,0,2018.2,2164.5,0,0,0,0,1-JAN-2008,
FUTSTK,BEML,31-Jan-2008,0,XX,1730,1745,1714,1716.85,1716.85,96,207.07,72375,-500,1-JAN-2008,
